Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,SLBP12_A,SLBP12_B,SLBP12_C,SLBP12TET_A,SLBP12TET_B,SLBP12TET_C
0,Phleomycin,0.0398664956610695,25.0995328049656,0.010566994881161041,Phleomycin,25.16651713629921,25.01980856223226,24.972965981281583,24.82850472170389,25.04428505794128,25.16690241318467
1,Tb04.24M18.150,2.77850311438438,13.8376124731351,2.867436960542948,"hypothetical protein, conserved",16.061659867226986,16.0186435191453,16.115560020519865,13.724168097578984,13.727974469327387,12.408211496832624
2,Tb05.5K5.100;Tb927.5.4450,-0.0520056910139886,22.446442289069,0.0086292862026333,"hypothetical protein, conserved;hypothetical protein, conserved",22.098991109364768,22.44992227783609,22.83271058533468,22.849021246187775,22.48555443847053,22.20306536091921
3,Tb05.5K5.110;Tb927.5.4460,0.0523162539409121,25.9396727443638,0.010566994881161041,"BAC from homologous region on chr5, major vault protein, putative;major vault protein, putative",25.915385498404845,25.963554136333936,26.152356331829694,26.24649381696796,25.761440642528992,25.8664127452488
4,Tb05.5K5.120;Tb927.5.4470,0.144957074761603,22.7929127670005,0.19318602832851556,"hypothetical protein, conserved;hypothetical protein, conserved",22.778994822269325,22.881175119124464,23.037906666543133,22.919583078612835,22.680460660466792,22.663161644572494
5,Tb05.5K5.130;Tb927.5.4480,0.473096093541272,26.4787705133313,0.12957392458535016,"BAC from homologous region on chr5, paraflagellar rod component par4, putative;paraflagellar rod component par4, putative",26.671574443664007,26.6880165532234,25.97770036461846,24.946907355154803,26.408682545529107,26.562413180198146
6,Tb05.5K5.150;Tb927.5.4500,-0.0122633526950757,27.7723334952855,0.005916067467426558,"small GTP-binding protein, putative, BAC from homologous region on chr5;ras-like small GTPase, putative",27.77574817611644,27.77121101744069,27.65249874823567,27.59957391337999,27.924179120792125,27.71249496570592
7,Tb05.5K5.160;Tb927.5.4520,0.506373528571267,23.4866505085618,0.5191997372076775,"hypothetical protein, conserved;Kinetochore interacting protein 1",23.70823310934069,23.629893976755103,23.504248417999577,22.557346352027047,23.236892412319527,23.529016154035
8,Tb05.5K5.170;Tb927.5.4530,-0.364991382481154,20.4644288577684,0.2003127334405424,"ATP pyrophosphate-lyase, putative, elongation of very long chain fatty acids protein, putative, BAC from homologous region on chr5;Long chain fatty acyl elongase",20.20034503157273,20.493475161110872,20.43391315532624,20.941336917899413,21.023502574553262,20.25786800300064
9,Tb05.5K5.190;Tb05.5K5.180;Tb927.5.4550;Tb927.5.4540,-0.0266751175268567,17.5056344004274,0.006126568315489962,"adenylyl cyclase, putative, ATP pyrophosphate-lyase, putative, receptor-type adenylate cyclase GRESAG 4, putative, BAC from homologous region on chr5;BAC from homologous region on chr5, ATP pyrophosphate-lyase, putative, receptor-type adenylate cyclase GRESAG 4, putative, adenylyl cyclase, putative;ATP pyrophosphate-lyase, putative, adenylyl cyclase, putative, receptor-type adenylate cyclase GRESAG 4, putative;adenylyl cyclase, putative, receptor-type adenylate cyclase GRESAG 4, putative, ATP pyrophosphate-lyase, putative",17.72145428560169,17.477145346901594,17.51223428990278,17.734740269907658,17.538253043758765,17.517865961320215
10,Tb05.5K5.200;Tb11.v5.0409.1-p1;Tb927.5.4560,-0.00279792500584,26.85384425468,0.0017432599208182917,"guanine aminase, putative, guanine aminohydrolase, putative, guanine deaminase, putative, guanase, putative, BAC from homologous region on chr5;Tb11.v5.0409.1-p1;guanine deaminase, putative, guanase, putative, guanine aminohydrolase, putative, guanine aminase, putative",26.752313322265504,26.78328806531587,27.14611542431636,27.15527892939413,26.75421985396257,26.78061180355854
11,Tb05.5K5.210,0.0383630670411144,24.6306600716039,0.009118468890084759,hypothetical protein,24.69352864372891,24.59846438194143,24.92630456965392,24.98430656570808,24.462359089589764,24.656542738903077
12,Tb05.5K5.240;Tb11.v5.0367.1-p1;Tb927.5.4600,-0.0732574136206843,22.0356609377379,0.04985175640440347,"expression site-associated gene 3 (ESAG3) protein, putative, BAC from homologous region on chr5, expression site-associated gene (ESAG) protein, putative;Tb11.v5.0367.1-p1;expression site-associated gene (ESAG) protein, putative, expression site-associated gene 3 (ESAG3) protein, putative",22.08641916932346,22.040901414523866,21.95494327282991,22.00926004215128,22.200120754590884,22.09265530079713
13,Tb05.5K5.30;Tb927.5.4380,0.0411476053652073,26.2795817691408,0.024970149098106527,"BAC from homologous region on chr5, serine/threonine protein phosphatase, putative;Kinetoplastid-specific Protein Phosphatase 1",26.30550820969277,26.32504792773041,26.30961884539118,26.364960647210072,26.2289411966977,26.22283032281096
14,Tb05.5K5.40;Tb927.5.4390,0.0948363379926462,23.7062953756683,0.05885224957386445,"hypothetical protein, conserved;hypothetical protein, conserved",23.70799607859629,23.878961385489244,23.679803986276514,23.55940049600305,23.637616671045087,23.785235269335985
15,Tb05.5K5.50;Tb927.5.4400,0.0469727237318729,24.7641163369959,0.01883639028710998,"hypothetical protein, conserved;hypothetical protein, conserved",24.85801700833468,24.64755941004043,24.804071273355557,24.785404686953022,24.68503452817662,24.6982903054054
16,Tb05.5K5.60;Tb927.5.4410,-0.0403931738747296,23.0330946262873,0.009118468890084759,"RRP15-like protein, putative;RRP15-like protein, putative",23.03852347829417,22.97288976401949,22.634951837070147,22.619662838805045,23.126621571918545,23.021260190284423
17,Tb05.5K5.70;Tb927.5.4420,-0.0814470431696783,26.5998070752198,0.026288186442804166,"nucleolar RNA helicase II, putative, BAC from homologous region on chr5, nucleolar RNA helicase Gu, putative;nucleolar RNA helicase II, putative",26.406947467202723,26.580528978137345,26.789717575629734,26.91841667718382,26.56440885559008,26.53870961770494
18,Tb05.5K5.80;Tb927.5.4430,-0.0757053807253776,24.2437342179851,0.03150182774780055,"calcium/calmodulin-dependent protein kinase, putative;calcium/calmodulin-dependent protein kinase, putative",24.15002405045897,24.08781420109867,24.33677392673839,24.381894622473887,24.259911190300137,24.15992250769816
19,Tb05.5K5.90;Tb927.5.4440,0.0972160279258603,24.2882072197115,0.009118468890084759,"BAC from homologous region on chr5, dynein light chain, putative;dynein light chain, putative",24.551545631095664,24.30854196520501,23.47896559645521,23.15007674116018,24.36198972971772,24.5353386381004
20,Tb06.3A7.270,-0.180541800963361,22.7540412342359,0.14831760192214402,"zinc finger protein, C2H2 type, putative",22.72779138964691,22.64632603609425,22.636351516016603,23.093262559408014,22.668171541535315,22.790660243704515
21,Tb06.3A7.960,0.06981302276969,24.4631020886974,0.010566994881161041,hypothetical protein,24.58933911695057,24.4795314464382,24.13612382802431,23.922829224352,24.587038163509305,24.48568793524268
22,Tb07.11L3.90;Tb927.7.2140,-0.149488639231137,24.339931447086,0.1429844436526334,"zinc finger protein family member, putative;zinc finger protein family member, putative",24.23183698160574,24.229165960830667,24.415277555681403,24.601946485913235,24.45984889695804,24.262951032939934
23,Tb08.27P2.110;Tb927.8.480,-1.52352955427384,23.6093247351005,5.4710404521017,"PAP2 superfamily, putative;phosphatidic acid phosphatase protein, putative",23.26701741460353,23.15978746084812,23.453477181083464,24.87821182977085,24.80961198629,24.763046903295784
24,Tb08.27P2.160:pseudogenic_transcript-p1,-0.796682975328164,18.5566936295724,0.66376002793951,Tb08.27P2.160,17.72891859036788,17.89975844705654,18.008464948077258,18.469184639135243,18.715448290193876,18.842557982157054
25,Tb08.27P2.400:pseudogenic_transcript-p1,-0.255471028279462,16.1368438913046,0.09652480957817472,Tb08.27P2.400,16.07139269268014,16.09977565083192,15.898214078432792,16.30096364278914,16.31776399560767,16.217067868386433
