Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,A_1,A_2,A_3,A_4,B_1,B_2,B_3,B_4
0,Tb927.5.4450,0.179681258,14.53918339,0.469002429,"hypothetical protein, conserved",27699,20308,28309,19195,32411,27969,35575,19394
1,Tb927.5.4460,-0.022843288,22.31791147,0.402684583,"major vault protein, putative",4982700,5071400,5221400,5013900,6891700,6848200,7265200,6921600
2,Tb927.5.4470,-0.106003769,18.10758342,1.177185581,"hypothetical protein, conserved",255530,246310,276910,256070,356820,376500,403960,371540
3,Tb927.5.4480,-0.042776487,20.58947768,0.503766633,"paraflagellar rod component par4, putative",1475600,1547100,1552600,1540700,2044400,2109000,2177500,2205300
4,Tb927.5.4500,-0.024386596,21.63424495,0.271897643,"ras-like small GTPase, putative",3032400,3228200,3377000,3151200,4239800,4534800,4418300,4418300
5,Tb927.5.4520,-0.148230905,16.81230755,1.709129577,Kinetochore interacting protein 1,102070,97231,115690,104750,162900,158250,154370,153500
6,Tb927.5.4360,0.150327375,16.79456009,1.5053358,"hypothetical protein, conserved",114600,101670,122270,109730,137480,125710,147440,136170
7,Tb927.5.4560,-0.013383895,22.04503155,0.155872968,"guanine deaminase, putative",4088600,4499500,4298400,4088100,5629600,5741200,5946500,5878100
8,Tb05.5K5.210,-0.267099066,15.76085992,1.492255154,hypothetical protein,48718,46715,54363,49535,78646,71927,96466,79311
9,Tb927.5.4580,-0.056616729,14.50249101,0.196328107,Flagellum adhesion protein 3,22858,21273,19693,21915,23796,34867,34097,29225
10,Tb927.9.15940,0.464003605,14.36977538,4.774253328,"expression site-associated gene 3 (ESAG3) protein, putative",21806,23598,22854,21548,22592,21560,22590,21423
11,Tb927.5.4380,-0.158128608,20.57539502,3.031811205,Kinetoplastid-specific Protein Phosphatase 1,1451900,1430700,1535000,1469200,2101000,2266100,2349100,2186600
12,Tb927.5.4390,-0.093168898,16.06287872,0.505351967,"hypothetical protein, conserved",66251,64966,65391,68868,93479,102140,100080,88438
13,Tb927.5.4400,0.085583123,16.43176031,0.541575663,"hypothetical protein, conserved",84637,79370,102070,95230,102350,120800,119240,117640
